Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway","€€€€","Creative, Seafood",5.7308447,58.9739705,+4751551111,https://guide.michelin.com/en/rogaland/stavanger/restaurant/re-naa,https://www.restaurantrenaa.no/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","The kitchen quite literally takes centre stage at this impeccable restaurant, sitting in the middle of the stylish room and providing a stage for the chefs to prepare intricate, superbly crafted dishes. Top-notch local fish and shellfish underpins the cooking, with supreme skill evident in the refined balance between the delicate seafood flavours and some stronger components – the grilled scallop with sea buckthorn and pumpkin sauce is a perfect example. The menu has around 20 servings and every aspect unfolds masterfully thanks to the exceptional kitchen and service teams."
"Frantzén","Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden","€€€€",Creative,18.0597575,59.3341673,+468208580,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen,https://www.restaurantfrantzen.com/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list","World-renowned Chef Björn Frantzén provides a truly immersive experience that you won't forget in a hurry at his uber-stylish restaurant. Ring the bell to enter, before enjoying an aperitif in the top-floor lounge while the day's ingredients are explained, then head to the dining room with its beautiful counter seating to witness the exceptionally talented chefs at work as they craft creative, perfectly executed dishes. The service works like clockwork to enhance the experience."
"Jordnær","Gentoftegade 29, Gentofte, 2820, Denmark","Gentofte, Denmark","€€€€",Creative,12.5412347,55.7481416,+4522408020,https://guide.michelin.com/en/capital-region/gentofte_1373269/restaurant/jordnaer,https://www.restaurantjordnaer.dk/,"3 Stars",0,"Car park,Interesting wine list","Chef-Owner Eric Kragh Vildgaard is the driving force behind this remarkable dining experience, demonstrating enormous technical skill across his procession of bold and creative dishes, all founded on seafood and vegetable produce of the utmost quality. The cooking varies between the wisely restrained (the pure, precise hamachi, ponzu and wasabi) and the hyper-detailed (the stunningly plated, multi-layered chawanmushi). Tina oversees the charming service in this stylish and sophisticated oasis, which is expertly run at every turn."
Geranium,"Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark","€€€€","Creative, Contemporary",12.5720951,55.703472,+4569960020,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium,https://www.geranium.dk/,"3 Stars",0,"Air conditioning,Great view,Interesting wine list,Wheelchair access","The 8th floor of the Parken Stadium – home to F.C. Copenhagen and the Danish national team – is the unlikely setting for Rasmus Kofoed’s luxurious, world-class restaurant that’s in a league of its own. Panoramic park views are accompanied by around 15 meticulously prepared, beautifully presented courses, with each one as highly creative and impeccably precise as the last. Totally eschewing meat, the first-rate ingredients include biodynamic vegetables, foraged plants and berries, and seafood from non-endangered species. A stunningly stocked wine cellar rounds out the experience."
"Hiša Franko","Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia","€€€€","Creative, Regional Cuisine",13.5378132,46.247312,+38653894120,https://guide.michelin.com/en/gorizia/kobarid/restaurant/hisa-franko,https://www.hisafranko.com/,"3 Stars",1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Few kitchens reflect their chef’s personality as clearly as Chef Ana Roš Stojan’s. Her strong, determined character and infectious warmth find perfect expression in a single tasting menu where dishes possess bold, decisive flavors with no compromise. Each course is a discovery: local ingredients and Slovenian traditions converse with international influences, balanced through refinement, taste, and technical precision. The Orme menu traces this journey with distinctly characterized yet elegant dishes, animated by a note of vivacious and refined freshness. Dishes that captivate on sight through a meticulous, colorful presentation, while surprising at every bite. Among the most compelling offerings are the Cappelletti, “Saporito delle valli” with tonka and fig leaves: the creaminess of the sauce and balanced flavors create a singular experience. Among the house specialties, which are nearly always on the menu, don’t miss the corn beignet with fermented ricotta cheese and smoked trout roe, and the hay-baked potatoes with fenugreek and roasted yeast-infused sour cream – dishes that authentically express the chef’s identity. Completing the experience, the service is impeccable, orchestrated by a young, cohesive team who guide guests with professionalism, ease, and passion, eloquently describing dishes and suggesting targeted wine pairings. For overnight guests, breakfast is unmissable: generous, colorful, and meticulously composed."
"FZN by Björn Frantzén","Atlantis The Palm Jumeirah, Crescent Road, Dubai",Dubai,$$$$,"Modern Cuisine",55.1182319,25.1320377,+971501076322,https://guide.michelin.com/en/dubai-emirate/dubai/restaurant/fzn-by-bjorn-frantzen,https://www.restaurantfzn.com/,"3 Stars",0,"Air conditioning,Car park,Counter dining,Interesting wine list,Valet parking,Wheelchair access","With a simple ring of a doorbell, you are transported to an elevated dining experience set in what looks like someone’s home. It starts in the Scandi-inspired sitting room for canapes and aperitifs; then, dinner takes place around an impressive open kitchen, where you are greeted by the chefs before service begins. An array of dishes showcases the blend of Asian and Scandinavian influences that make great use of the finest luxury ingredients, such as shellfish from the Norwegian Sea and turbot from Brittany. The team’s craft and precision present a superb balance of flavour and texture seen across all the plates."
Boury,"Rumbeeksesteenweg 300, Roeselare, 8800, Belgium","Roeselare, Belgium","€€€€","Creative French",3.1403981,50.9374466,+3251626462,https://guide.michelin.com/en/west-vlaanderen/roeselare/restaurant/boury,https://www.restaurantboury.be/,"3 Stars",0,"Air conditioning,Car park,Garden or park,Interesting wine list","In their brick villa, Tim Boury and Inge Waeles have clearly puzzled, pondered and finetuned each detail from the attentive service and felicitous food-wine pairings to the fashionably stylish interior and the gorgeous patio and bar. The buzzy casual vibe is ample proof that perfection is not necessarily starched and stuffy. Chef Boury’s painstaking recipes mingle classicism with creative peps and he cannot be equalled for his ability to enhance exceptional ingredients, particularly those from his region whose praises he frequently sings. His cuisine attains a pinnacle of high-flying virtuosity, whether by the complexity of flavours and textures or by a prodigious sauce that hits the spot every time. Light years from showy gimmicks, the focus is on authenticity and confidently allowing each ingredient to shout its name. Take for example his high-flying dish of mouthwatering calf’s sweetbread sautéed in a beurre noisette, then in a casserole dish, flanked by crunchy croutons, a syrupy red wine reduction subtly perfumed with girolles and other mushrooms and black truffle marinated in madeira wine. Rich unctuous flavours steeped in refinement, consummate culinary mastery, a wealth of amusing nods and a naturally generous personality are all combined in a unique and truly marvellous dining experience."
Zilte,"Hanzestedenplaats 5, Antwerpen, 2000, Belgium","Antwerpen, Belgium","€€€€",Creative,4.4047543,51.228828,+3232834040,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-zilte,https://www.zilte.be/,"3 Stars",0,"Air conditioning,Great view,Interesting wine list,Wheelchair access","Zilte strives to offer a global emotional experience, starting with the view of the city skyline from the top floor of the Museum aan de Stroom. The understated designer interior is elegant and cosy, offset by the chef’s old record player which adds a nostalgic jazzy note. Everything is spot on from the gracious welcome and the wine waiter’s savvy tips to the sweet treats served with coffee. Viki Geunes has stripped his restaurant of everything but the essentials, starting with outstanding quality ingredients as he harnesses his creative flair to make each dish a masterpiece of excellence. For example, Geunes may add a tempura of sea urchin, thinly sliced hearts of palm, cream of celery and an unusual mandarin-flavoured miso to immaculately cooked langoustine. He may then also craft a second dish with the same ingredients, surprising us with a whole new repertory of textures. This fastidiously meticulous chef delicately plays with each texture and flavour, conjuring up food that is complex and gutsy, yet free of fussy frills. Now add sauces to die for and exotic side dishes with a surprising, yet mild spicy note and the portrait of Viki Geunes’ consummate skill and talent is complete."
IKIGAI,"Elmau 2, Krün, 82493, Germany","Krün, Germany","€€€€","Modern Cuisine, Asian Contemporary",11.186197,47.4621643,+498823180,https://guide.michelin.com/en/bayern/krn/restaurant/ikigai-122205,https://www.schloss-elmau.de/restaurants/ikigai/,"2 Stars",0,"Car park,Garden or park,Interesting wine list,Notable sake list,Valet parking,Wheelchair access","Schloss Elmau is a truly exceptional hideaway, set in a spectacular location surrounded by mountains, forests and meadows. Every ounce of luxury in the hotel and spa finds its culinary match in this restaurant. The Japanese concept of ikigai describes everything that makes life worthwhile. Fine details such as elegant tableware and decorative Japanese kokeshi dolls hint at a deep affinity with Japan – above all, however, this is expressed through the food. Drawing inspiration from his travels, Christoph Rainer consistently integrates Asian and Japanese elements into his creations. A particular highlight is the ""Tristan rock lobster binchotan BBQ"" – a dish that underscores the exceptional quality of the ingredients. Adept service comes courtesy of an unflappable front-of-house team that includes cordial sommelier Marie-Helen Krebs – pleasant, laid-back and impressively knowledgeable. There is also a fine sake selection. The refined interior with its pared-back design and warm wood sets a sophisticated tone. The establishment is also renowned for its excellent cultural programme."
"OPUS V","O5, 9-12, Mannheim, 68161, Germany","Mannheim, Germany","€€€€","Modern Cuisine, Creative",8.4697743,49.4857999,+496211671199,https://guide.michelin.com/en/baden-wurttemberg/mannheim/restaurant/opus-v,https://www.restaurant-opus-v.de/,"2 Stars",0,"Air conditioning,Great view,Interesting wine list,Terrace,Wheelchair access","Shopping and fine dining under one roof? Head to the top floor of fashion retailer engelhorn Mode im Quadrat to investigate. A team headed up by Dominik Paul cooks up modern and creative cuisine. With flavours that range from bold and robust to low-key, subtle and highly elegant, the dishes bowl diners over. Made using excellent ingredients, everything is nicely pared down and wonderfully balanced. The carefully devised wine pairings are also impressive – there are alcohol-free alternatives, too. In the evening, you can choose between three set menus: the six-course ""Urban Nature"", four-course ""Chef's Choice"" and a three-course option, which is also served at lunch. All of the above can be supplemented by a few special recommendations such as ""beef tartare, caviar, myoga"" or ""langoustine, shiitake, verjus"". The sleek, contemporary interior with a Nordic feel is attractive, and there is an open kitchen. The highlight, of course, is the roof terrace with a view of the city! N.B. The restaurant also has a separate entrance."
Ophelia,"Seestraße 25, Constance, 78464, Germany","Constance, Germany","€€€€","Creative French, International",9.187565,47.6673977,+497531363090,https://guide.michelin.com/en/baden-wurttemberg/konstanz/restaurant/ophelia,https://www.restaurant-ophelia.de/,"2 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace","Elegance and sophistication permeate every inch of the fine dining restaurant of the Hotel Riva. It begins with the aperitif in the inviting lounge (also ideal for a digestif or coffee) and continues in the elegant restaurant. In the pretty Jugendstil villa dating back to 1909, Dirk Hoberg turns heads with his fantastic haute cuisine that is rooted in the classics. In the tasting menu, top-quality ingredients are combined in an extremely delicate and thoughtful way and finished with wonderful French-inspired sauces – the zander poached in oil on fresh Swiss chard and nut butter hollandaise is particularly exquisite. The chefs serve one or two of the courses themselves. The extensive wine list is excellent, featuring a particularly good selection of regional labels and sparkling wines, and the sommelier's recommendations are spot on. Tip: Book the ""Kitchen Table"" right by the pass to the open kitchen. Up to four diners can sit here with a clear view of the chefs at work. The terrace with a view of Lake Constance is also wonderful. And you might want to take advantage of the beautiful location for a walk along the waterfront promenade – the perfect way to soak up the lakeside atmosphere!"
Tantris,"Johann-Fichte-Straße 7, Munich, 80805, Germany","Munich, Germany","€€€€","French Contemporary, Classic Cuisine",11.588259,48.1697565,+49893619590,https://guide.michelin.com/en/bayern/mnchen/restaurant/tantris-75719,https://tantris.de/,"2 Stars",0,"Air conditioning,Car park,Interesting wine list,Terrace,Valet parking","Tantris boasts a unique look with its bold colour scheme evoking the ""red of lobster and black of truffle""! A few modern touches, such as a distinctive walk-in glass wine cabinet, complement the restaurant's legendary style without compromising its iconic 1970s charm. The cuisine of Benjamin Chmura and his team strikes a masterful balance of textures and flavours, often incorporating playful bursts of acidity. This is beautifully illustrated, for instance, by the charcoal-grilled and delicately spiced melt-in-the-mouth pigeon breast, accompanied by a red berry sauce with beautiful depth and matching fresh acidity. The anticipation mounts as you savour the wonderful selection of bread with French butter served beforehand – the latter is sourced from a small-batch producer in Brittany who supplies only a handful of restaurants. In the evening, there is a pair of seven-course set menus (omnivore and vegetarian), and at lunchtime, a five-course set menu – all can be expanded with specialities. The service sparkles with understated charm; everyone is extremely attentive and professional. The excellent sommelier team can provide outstanding wine recommendations and presentations. Rare gems from the house's wine cellar are also available by the glass to pair with the set menu. Tip: The bar in the entrance area is perfect for an aperitif or digestif."
"Alois - Dallmayr Fine Dining","Dienerstraße 14, Munich, 80331, Germany","Munich, Germany","€€€€","Creative, Modern Cuisine",11.5771585,48.1383054,+49892135100,https://guide.michelin.com/en/bayern/mnchen/restaurant/alois-dallmayr-fine-dining,https://www.dallmayr.com/de/delikatessenhaus/restaurant/,"2 Stars",0,"Air conditioning,Interesting wine list","Dallmayr is a name that has always been synonymous with good taste and excellent ingredients, and the same can be said for Alois. Head through the bar to a staircase that leads you up to the first floor of the iconic delicatessen. This is a chic and elegant setting in which to savour Rosina Ostler's cuisine, which skilfully blends classic French and Nordic styles with her Bavarian roots. This gives the array of 15 - 17 dishes on the menu a unique hallmark: cleverly devised, thoughtfully structured and at the same time delicate creations. Allow plenty of time in order to immerse yourself completely in this experience – dishes such as ""lobster tail, dark beer, chanterelles"" or ""roe deer, wild fig, Swiss chard – malt brioche & port wine butter"" don't disappoint! The quality of the produce is second to none. At Midday on Fridays and Saturdays, in addition to the full menu, there is an 8-course business lunch. Seek out Julien Morlat for judicious recommendations from a wine list that leaves nothing to be desired, especially when it comes to ""Old World"" wines. The charming waitstaff is supported by the chefs, who talk diners through their dishes, making for a refreshingly relaxed atmosphere."
Intense,"Weinstraße 31, Wachenheim an der Weinstraße, 67157, Germany","Wachenheim an der Weinstraße, Germany","€€€€","Fusion, Creative",8.1820048,49.4385482,+4963226004994,https://guide.michelin.com/en/rheinland-pfalz/wachenheim-an-der-weinstrasse/restaurant/intense-1195298,https://www.restaurant-inten.se/,"2 Stars",0,"Air conditioning,Car park,Interesting wine list,Notable sake list","In the centre of Wachenheim, opposite the church, Kirche St Georg, Bettina and Benjamin Peifer present their exciting concept! After welcome drinks and appetisers in Gud Stubb (the former vicarage), you are introduced to their culinary philosophy in the pantry; you then take a seat in the minimalist, urban-style restaurant area, either at the counter with a direct view into the kitchen – a special experience – or at one of the small tables or in a koshitsu (a separate nook). A special fusion of the cuisines of the Palatinate and Japan is served. Think ""izakaya- style"" pigeon: juicy, grilled pigeon breast breaded with crunchy sesame seeds, and a skewer of very tasty, tender minced pigeon meat. Fire plays a major role, producing wonderful roasted flavours! Top tip: Try the deliciously sweet, intensely flavoured Bienenstich (bee sting cake), which truly lives up to the restaurant's name. The front-of-house team is always on hand, and the chef often brings out dishes himself. Music adds to the pleasant atmosphere. Hostess Bettina's wine, sake and alcohol-free drink recommendations always hit the mark."
Jante,"Marienstraße 116, Hanover, 30171, Germany","Hanover, Germany","€€€€","Creative, Modern Cuisine",9.7607965,52.3702201,+4951154555606,https://guide.michelin.com/en/niedersachsen/hannover/restaurant/jante,https://www.jante-restaurant.de/,"2 Stars",0,"Interesting wine list,Terrace","Tony Hohlefeld and his talented kitchen team steer clear of showmanship and unnecessary frills in their bid to bring precise craftsmanship, technical finesse and original ideas to the table. For all the work, complexity and detail that goes into the food, it is marked by an appealing lightness of touch. A subtle personal flourish shines through in dishes such as delicately pan-seared pigeon, the natural flavour of which is enhanced by well-judged seasoning, complemented by subtle notes of elderberry as well as the contrasting flavour of marinated cucumber. No compromises are made when it comes to the quality of the ingredients. The set menu takes the form of a ""Long Story"" (six courses) or a ""Short Story"" (four courses). When making a reservation, you can also book a vegetarian/vegan set menu. The easy style of the food reflects the atmosphere in this building with a semi-circular floor plan and floor-to-ceiling windows. The sleek Scandinavian-style interior contributes to the experience, as does the excellent service provided by pleasant, laid-back maître d' and sommelier Mona Schrader – the charming front-of-house team positively radiates cordiality and professional competence. A nice touch: the chefs themselves talk you through the dishes, detailing the ingredients and cooking techniques. Plus, savvy wine recommendations. The underground station is conveniently situated just around the corner."
Votum,"Hannah-Arendt-Platz 1, Hanover, 30159, Germany","Hanover, Germany","€€€€","Creative, Modern Cuisine",9.7354833,52.3700102,+4951130302412,https://guide.michelin.com/en/niedersachsen/hannover/restaurant/votum,https://vo-tum.de/,"2 Stars",0,"Air conditioning,Interesting wine list,Terrace,Wheelchair access","Regional culinary star Benjamin Gallein wows diners with subtly creative cuisine in the form of flavoursome dishes that pack a punch. The restaurant is on Platz der Göttinger Sieben, close to the Leine River. It is housed in the modern extension of the historical Leineschloss, a palace that is also the seat of Lower Saxony's state parliament. The name ""Votum"" is a reference to the choices to be made by diners: the order of the courses, optional upgrades, and wine pairings (standard or ""premium"") or alcohol-free alternatives. Their original signature dish, ""Lobster, shellfish hollandaise, tarragon"", is a real flavour sensation with a sharp, elegant aesthetic. The outstanding quality of the ingredients also shines through, for example, in the perfectly seared scallops or the Wagyu mille-feuille. The ""Two Hours – Three Courses"" set menu is also an interesting recommendation. Furthermore, this space with a glass façade provides a stylish setting, as does the lovely terrace overlooking the river. Attentive and professional service – the chefs come to your table to talk you through the dishes. V ANDY Bar is a separate concept, to be tried out Wed-Sat from 9pm. Restaurant Schorse im Leineschloss is also part of this food and beverage group."
